case_id,scenario,profile,snr_db,mod_a,mod_b,freq_step_hz,has_change,triggered,valid_detection,false_alarm,miss,late_detection,latency_ms,trigger_score,trigger_reason
84,freq_mod_switch,ideal,20.0,FSK,PSK,20000.0,True,False,False,False,True,False,nan,0,0
85,freq_mod_switch,ideal,20.0,FSK,PSK,50000.0,True,False,False,False,True,False,nan,0,0
86,mod_switch_same_freq,ideal,20.0,PSK,AM,0.0,True,True,True,False,False,False,4.0,2,20
87,freq_mod_switch,ideal,20.0,PSK,AM,10000.0,True,True,True,False,False,False,4.0,4,21
88,freq_mod_switch,ideal,20.0,PSK,AM,-10000.0,True,True,True,False,False,False,4.0,4,21
89,freq_mod_switch,ideal,20.0,PSK,AM,20000.0,True,True,True,False,False,False,4.0,4,21
90,freq_mod_switch,ideal,20.0,PSK,AM,50000.0,True,True,True,False,False,False,4.0,4,21
91,mod_switch_same_freq,ideal,20.0,PSK,FM,0.0,True,True,True,False,False,False,4.0,2,24
92,freq_mod_switch,ideal,20.0,PSK,FM,10000.0,True,True,True,False,False,False,4.0,4,25
93,freq_mod_switch,ideal,20.0,PSK,FM,-10000.0,True,True,True,False,False,False,4.0,4,25
94,freq_mod_switch,ideal,20.0,PSK,FM,20000.0,True,True,True,False,False,False,4.0,4,25
95,freq_mod_switch,ideal,20.0,PSK,FM,50000.0,True,True,True,False,False,False,4.0,4,25
96,mod_switch_same_freq,ideal,20.0,PSK,ASK,0.0,True,True,True,False,False,False,4.0,2,6
97,freq_mod_switch,ideal,20.0,PSK,ASK,10000.0,True,True,True,False,False,False,4.0,4,7
98,freq_mod_switch,ideal,20.0,PSK,ASK,-10000.0,True,True,True,False,False,False,4.0,4,7
99,freq_mod_switch,ideal,20.0,PSK,ASK,20000.0,True,True,True,False,False,False,4.0,4,7
100,freq_mod_switch,ideal,20.0,PSK,ASK,50000.0,True,True,True,False,False,False,4.0,4,7
101,mod_switch_same_freq,ideal,20.0,PSK,FSK,0.0,True,True,True,False,False,False,5.999999999999998,3,9
102,freq_mod_switch,ideal,20.0,PSK,FSK,10000.0,True,True,True,False,False,False,4.0,3,9
103,freq_mod_switch,ideal,20.0,PSK,FSK,-10000.0,True,True,True,False,False,False,4.0,2,1
104,freq_mod_switch,ideal,20.0,PSK,FSK,20000.0,True,True,True,False,False,False,4.0,2,1
105,freq_mod_switch,ideal,20.0,PSK,FSK,50000.0,True,True,True,False,False,False,4.0,2,1
106,no_change,ideal,10.0,AM,AM,0.0,False,False,False,False,False,False,nan,0,0
107,no_change,ideal,10.0,FM,FM,0.0,False,False,False,False,False,False,nan,0,0
108,no_change,ideal,10.0,ASK,ASK,0.0,False,True,False,True,False,False,-8.0,2,6
109,no_change,ideal,10.0,FSK,FSK,0.0,False,False,False,False,False,False,nan,0,0
110,no_change,ideal,10.0,PSK,PSK,0.0,False,False,False,False,False,False,nan,0,0
111,mod_switch_same_freq,ideal,10.0,AM,FM,0.0,True,True,True,False,False,False,4.0,3,28
112,freq_mod_switch,ideal,10.0,AM,FM,10000.0,True,True,True,False,False,False,4.0,4,25
113,freq_mod_switch,ideal,10.0,AM,FM,-10000.0,True,True,True,False,False,False,4.0,5,29
114,freq_mod_switch,ideal,10.0,AM,FM,20000.0,True,True,True,False,False,False,4.0,5,29
115,freq_mod_switch,ideal,10.0,AM,FM,50000.0,True,True,True,False,False,False,4.0,5,29
116,mod_switch_same_freq,ideal,10.0,AM,ASK,0.0,True,True,True,False,False,False,4.0,2,6
117,freq_mod_switch,ideal,10.0,AM,ASK,10000.0,True,True,True,False,False,False,4.0,5,23
118,freq_mod_switch,ideal,10.0,AM,ASK,-10000.0,True,True,True,False,False,False,4.0,6,31
119,freq_mod_switch,ideal,10.0,AM,ASK,20000.0,True,True,True,False,False,False,4.0,6,31
120,freq_mod_switch,ideal,10.0,AM,ASK,50000.0,True,True,True,False,False,False,4.0,5,23
121,mod_switch_same_freq,ideal,10.0,AM,FSK,0.0,True,True,True,False,False,False,4.0,3,5
122,freq_mod_switch,ideal,10.0,AM,FSK,10000.0,True,True,True,False,False,False,4.0,5,29
123,freq_mod_switch,ideal,10.0,AM,FSK,-10000.0,True,True,True,False,False,False,4.0,4,21
124,freq_mod_switch,ideal,10.0,AM,FSK,20000.0,True,True,True,False,False,False,4.0,2,1
125,freq_mod_switch,ideal,10.0,AM,FSK,50000.0,True,True,True,False,False,False,4.0,4,21
126,mod_switch_same_freq,ideal,10.0,AM,PSK,0.0,True,True,True,False,False,False,4.0,2,20
127,freq_mod_switch,ideal,10.0,AM,PSK,10000.0,True,True,True,False,False,False,4.0,4,21
128,freq_mod_switch,ideal,10.0,AM,PSK,-10000.0,True,True,True,False,False,False,4.0,3,17
129,freq_mod_switch,ideal,10.0,AM,PSK,20000.0,True,True,True,False,False,False,4.0,4,21
130,freq_mod_switch,ideal,10.0,AM,PSK,50000.0,True,True,True,False,False,False,4.0,4,21
131,mod_switch_same_freq,ideal,10.0,FM,AM,0.0,True,True,True,False,False,False,4.0,2,24
132,freq_mod_switch,ideal,10.0,FM,AM,10000.0,True,True,True,False,False,False,4.0,3,28
133,freq_mod_switch,ideal,10.0,FM,AM,-10000.0,True,True,True,False,False,False,4.0,3,28
134,freq_mod_switch,ideal,10.0,FM,AM,20000.0,True,True,True,False,False,False,4.0,3,28
135,freq_mod_switch,ideal,10.0,FM,AM,50000.0,True,True,True,False,False,False,4.0,2,24
136,mod_switch_same_freq,ideal,10.0,FM,ASK,0.0,True,True,True,False,False,False,4.0,4,30
137,freq_mod_switch,ideal,10.0,FM,ASK,10000.0,True,True,True,False,False,False,4.0,4,30
138,freq_mod_switch,ideal,10.0,FM,ASK,-10000.0,True,True,True,False,False,False,4.0,4,30
139,freq_mod_switch,ideal,10.0,FM,ASK,20000.0,True,True,True,False,False,False,4.0,4,30
140,freq_mod_switch,ideal,10.0,FM,ASK,50000.0,True,True,True,False,False,False,4.0,4,30
141,mod_switch_same_freq,ideal,10.0,FM,FSK,0.0,True,True,True,False,False,False,4.0,2,24
142,freq_mod_switch,ideal,10.0,FM,FSK,10000.0,True,True,True,False,False,False,8.0,2,24
143,freq_mod_switch,ideal,10.0,FM,FSK,-10000.0,True,True,True,False,False,False,5.999999999999998,2,24
144,freq_mod_switch,ideal,10.0,FM,FSK,20000.0,True,True,True,False,False,False,18.000000000000004,2,24
145,freq_mod_switch,ideal,10.0,FM,FSK,50000.0,True,True,True,False,False,False,4.0,2,24
146,mod_switch_same_freq,ideal,10.0,FM,PSK,0.0,True,True,False,False,True,True,27.999999999999996,2,24
147,freq_mod_switch,ideal,10.0,FM,PSK,10000.0,True,True,True,False,False,False,5.999999999999998,2,24
148,freq_mod_switch,ideal,10.0,FM,PSK,-10000.0,True,True,False,False,True,True,26.000000000000004,2,24
149,freq_mod_switch,ideal,10.0,FM,PSK,20000.0,True,True,True,False,False,False,5.999999999999998,2,24
150,freq_mod_switch,ideal,10.0,FM,PSK,50000.0,True,False,False,False,True,False,nan,0,0
151,mod_switch_same_freq,ideal,10.0,ASK,AM,0.0,True,True,True,False,False,False,5.999999999999998,2,6
152,freq_mod_switch,ideal,10.0,ASK,AM,10000.0,True,True,True,False,False,False,4.0,3,3
153,freq_mod_switch,ideal,10.0,ASK,AM,-10000.0,True,True,False,True,False,False,-8.0,2,6
154,freq_mod_switch,ideal,10.0,ASK,AM,20000.0,True,True,False,True,False,False,-8.0,2,6
155,freq_mod_switch,ideal,10.0,ASK,AM,50000.0,True,True,True,False,False,False,4.0,4,7
156,mod_switch_same_freq,ideal,10.0,ASK,FM,0.0,True,True,False,True,False,False,-8.0,2,6
157,freq_mod_switch,ideal,10.0,ASK,FM,10000.0,True,True,False,True,False,False,-8.0,2,6
158,freq_mod_switch,ideal,10.0,ASK,FM,-10000.0,True,True,True,False,False,False,4.0,6,31
159,freq_mod_switch,ideal,10.0,ASK,FM,20000.0,True,True,False,True,False,False,-8.0,2,6
160,freq_mod_switch,ideal,10.0,ASK,FM,50000.0,True,True,True,False,False,False,4.0,6,31
